geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino,American Indian or Alaska Native Alone %,Asian Alone %,Black or African American Alone %,Native Hawaiian or Other Pacific Islander Alone %,White Alone %,Hispanic or Latino %
"Congressional District 10, Ohio",597119,246,9174,95404,133,456737,16608,0.04,1.54,15.98,0.02,76.49,2.78
"Congressional District 10, Pennsylvania",587334,231,18561,53537,55,456342,44876,0.04,3.16,9.12,0.01,77.7,7.64
"Congressional District 10, Texas",565043,825,21551,59817,372,363023,106999,0.15,3.81,10.59,0.07,64.25,18.94
"Congressional District 10, Virginia",521132,597,70838,49626,299,319324,63901,0.11,13.59,9.52,0.06,61.28,12.26
"Congressional District 10, Washington",566409,4487,40187,39019,8671,383669,53713,0.79,7.1,6.89,1.53,67.74,9.48
"Congressional District 11, California",540277,1153,168330,29332,1918,250819,64666,0.21,31.16,5.43,0.36,46.42,11.97
"Congressional District 11, Florida",610689,585,21104,73657,463,404540,99105,0.1,3.46,12.06,0.08,66.24,16.23
"Congressional District 11, Georgia",561261,386,17932,69570,438,419019,40927,0.07,3.19,12.4,0.08,74.66,7.29
"Congressional District 11, Illinois",523749,324,34405,31494,74,376929,72327,0.06,6.57,6.01,0.01,71.97,13.81
"Congressional District 11, Michigan",583557,686,33440,77707,254,433946,22071,0.12,5.73,13.32,0.04,74.36,3.78
"Congressional District 11, New Jersey",558195,329,54148,31779,85,384244,77573,0.06,9.7,5.69,0.02,68.84,13.9
"Congressional District 11, New York",509850,968,85943,34915,103,300407,78934,0.19,16.86,6.85,0.02,58.92,15.48
"Congressional District 11, North Carolina",601687,6788,4447,20030,329,533847,23358,1.13,0.74,3.33,0.05,88.73,3.88
"Congressional District 11, Ohio",592240,412,11585,250903,130,273741,39665,0.07,1.96,42.37,0.02,46.22,6.7
"Congressional District 11, Pennsylvania",584658,267,10373,18500,136,502258,43834,0.05,1.77,3.16,0.02,85.91,7.5
"Congressional District 11, Texas",527194,845,8472,61184,1237,265936,177317,0.16,1.61,11.61,0.23,50.44,33.63
"Congressional District 11, Virginia",531185,565,107331,47001,309,302273,55574,0.11,20.21,8.85,0.06,56.91,10.46
"Congressional District 12, California",521634,1286,107359,89326,2204,209445,86149,0.25,20.58,17.12,0.42,40.15,16.52
"Congressional District 12, Florida",640612,875,10422,28475,350,507993,79253,0.14,1.63,4.44,0.05,79.3,12.37
"Congressional District 12, Georgia",581062,840,8518,212708,172,320405,23538,0.14,1.47,36.61,0.03,55.14,4.05
"Congressional District 12, Illinois",577867,655,3783,29097,56,519345,12131,0.11,0.65,5.04,0.01,89.87,2.1
"Congressional District 12, Michigan",560874,878,7579,250798,67,270860,14538,0.16,1.35,44.72,0.01,48.29,2.59
"Congressional District 12, New Jersey",498852,246,80698,86528,140,248723,73388,0.05,16.18,17.35,0.03,49.86,14.71
"Congressional District 12, New York",551447,452,57304,28596,267,390481,59979,0.08,10.39,5.19,0.05,70.81,10.88
"Congressional District 12, North Carolina",519412,1003,19872,215380,155,227392,42386,0.19,3.83,41.47,0.03,43.78,8.16
"Congressional District 12, Ohio",607997,312,8375,22574,214,553717,9656,0.05,1.38,3.71,0.04,91.07,1.59
"Congressional District 12, Pennsylvania",603666,347,15774,81523,40,477859,14297,0.06,2.61,13.5,0.01,79.16,2.37
"Congressional District 12, Texas",575152,962,20084,68182,350,362561,108988,0.17,3.49,11.85,0.06,63.04,18.95
"Congressional District 13, California",435676,1437,31638,16593,1670,135011,237939,0.33,7.26,3.81,0.38,30.99,54.61
"Congressional District 13, Florida",621407,613,19335,39598,303,494297,55548,0.1,3.11,6.37,0.05,79.54,8.94
"Congressional District 13, Georgia",536790,629,32203,289974,334,152935,45336,0.12,6.0,54.02,0.06,28.49,8.45
"Congressional District 13, Illinois",569471,728,13682,102434,151,415290,20442,0.13,2.4,17.99,0.03,72.93,3.59
"Congressional District 13, Michigan",553261,1094,10760,256318,274,231412,37487,0.2,1.94,46.33,0.05,41.83,6.78
"Congressional District 13, New York",511226,657,25904,141682,84,99979,229669,0.13,5.07,27.71,0.02,19.56,44.93
"Congressional District 13, North Carolina",568993,1554,5200,113633,326,391820,42789,0.27,0.91,19.97,0.06,68.86,7.52
"Congressional District 13, Ohio",603839,465,12901,69523,91,490719,12149,0.08,2.14,11.51,0.02,81.27,2.01
"Congressional District 13, Pennsylvania",600959,257,2930,12732,43,560284,15606,0.04,0.49,2.12,0.01,93.23,2.6
"Congressional District 13, Texas",552672,1822,8964,36298,544,368878,121260,0.33,1.62,6.57,0.1,66.74,21.94
"Congressional District 14, California",466994,1207,164119,29590,5104,153150,96573,0.26,35.14,6.34,1.09,32.79,20.68
"Congressional District 14, Florida",574076,485,18920,95901,549,313694,129629,0.08,3.3,16.71,0.1,54.64,22.58
"Congressional District 14, Georgia",564506,450,7158,70613,397,429817,42458,0.08,1.27,12.51,0.07,76.14,7.52
"Congressional District 14, Illinois",534002,429,24435,50447,17,352969,95265,0.08,4.58,9.45,0.0,66.1,17.84
"Congressional District 14, New York",436168,1062,49566,73152,718,105455,199080,0.24,11.36,16.77,0.16,24.18,45.64
"Congressional District 14, North Carolina",566597,878,14182,88069,248,418188,30303,0.15,2.5,15.54,0.04,73.81,5.35
"Congressional District 14, Ohio",618660,359,4397,30072,147,557421,15042,0.06,0.71,4.86,0.02,90.1,2.43
"Congressional District 14, Pennsylvania",612758,119,3436,18234,78,575233,7661,0.02,0.56,2.98,0.01,93.88,1.25
"Congressional District 14, Texas",555582,1135,13790,89447,422,328700,111654,0.2,2.48,16.1,0.08,59.16,20.1
"Congressional District 15, California",488942,683,183052,15074,5200,170155,100390,0.14,37.44,3.08,1.06,34.8,20.53
"Congressional District 15, Florida",579872,588,22168,80614,377,334518,127955,0.1,3.82,13.9,0.07,57.69,22.07
"Congressional District 15, Illinois",578981,584,3599,16640,170,534899,12537,0.1,0.62,2.87,0.03,92.39,2.17
"Congressional District 15, New York",459728,1433,13383,163802,266,53193,220677,0.31,2.91,35.63,0.06,11.57,48.0
"Congressional District 15, Ohio",572822,446,16060,60558,180,458031,19648,0.08,2.8,10.57,0.03,79.96,3.43
"Congressional District 15, Pennsylvania",606989,534,5584,11700,161,569529,11397,0.09,0.92,1.93,0.03,93.83,1.88
"Congressional District 15, Texas",455101,597,5385,7913,242,98108,339596,0.13,1.18,1.74,0.05,21.56,74.62
"Congressional District 16, California",482251,862,134648,10580,1993,244030,74209,0.18,27.92,2.19,0.41,50.6,15.39
"Congressional District 16, Florida",606064,478,14080,70558,270,411308,95745,0.08,2.32,11.64,0.04,67.87,15.8
"Congressional District 16, Illinois",562575,320,7572,12767,113,503399,29123,0.06,1.35,2.27,0.02,89.48,5.18
"Congressional District 16, New York",530240,693,30034,116166,101,245913,127527,0.13,5.66,21.91,0.02,46.38,24.05
"Congressional District 16, Pennsylvania",603030,340,4163,22305,64,553901,12857,0.06,0.69,3.7,0.01,91.85,2.13
"Congressional District 16, Texas",500555,1326,5840,17836,594,71882,397015,0.26,1.17,3.56,0.12,14.36,79.31
"Congressional District 17, California",424567,1036,208510,11044,2154,121956,67468,0.24,49.11,2.6,0.51,28.72,15.89
"Congressional District 17, Florida",658822,598,9620,31886,285,539073,67984,0.09,1.46,4.84,0.04,81.82,10.32
