geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino
"State Senate District 40 (2024), South Carolina",81293,139,448,39137,49,38455,1479
"State Senate District 40 (2024), Virginia",149846,156,12341,13703,60,101262,17339
"State Senate District 41 (2024), Georgia",126345,85,6225,77328,93,33049,5692
"State Senate District 41 (2024), Illinois",158028,37,12784,5374,0,125418,11545
"State Senate District 41 (2024), Indiana",99983,39,2568,2225,11,89964,3568
"State Senate District 41 (2024), Iowa",48259,34,599,2694,0,41081,3138
"State Senate District 41 (2024), Maryland",94003,93,1258,62994,1,23936,3325
"State Senate District 41 (2024), Minnesota",65771,198,2555,2002,44,57430,2392
"State Senate District 41 (2024), Mississippi",46287,70,98,14034,66,30976,618
"State Senate District 41 (2024), Montana",18094,320,39,177,1,16373,554
"State Senate District 41 (2024), Nebraska",28911,48,30,53,32,27437,984
"State Senate District 41 (2024), New Mexico",29271,111,145,1250,4,10127,17277
"State Senate District 41 (2024), New York",259078,129,4284,11571,99,219421,17998
"State Senate District 41 (2024), North Carolina",164623,289,6689,71072,10,71742,10668
"State Senate District 41 (2024), North Dakota",12682,58,188,387,0,11457,440
"State Senate District 41 (2024), Oklahoma",61973,737,1779,3168,26,50847,2197
"State Senate District 41 (2024), Pennsylvania",203556,33,824,4478,12,193348,2506
"State Senate District 41 (2024), South Carolina",81641,266,1314,18059,8,56335,3801
"State Senate District 42 (2024), Georgia",147543,161,1751,51232,5,83564,6408
"State Senate District 42 (2024), Illinois",145569,75,10573,14658,9,92708,25294
"State Senate District 42 (2024), Indiana",104927,81,299,728,0,100852,1274
"State Senate District 42 (2024), Iowa",48249,30,242,231,0,46679,543
"State Senate District 42 (2024), Maryland",94463,71,2630,6278,6,80275,3504
"State Senate District 42 (2024), Minnesota",58097,211,4368,2327,2,47891,1708
"State Senate District 42 (2024), Mississippi",42437,95,206,7497,2,33530,621
"State Senate District 42 (2024), Montana",17298,117,87,17,1,16097,594
"State Senate District 42 (2024), Nebraska",28197,146,190,197,3,25645,1705
"State Senate District 42 (2024), New Mexico",33039,282,130,738,16,18567,12695
"State Senate District 42 (2024), New York",220390,288,5574,21761,26,148922,39017
"State Senate District 42 (2024), North Carolina",146786,163,6975,14799,99,113423,8264
"State Senate District 42 (2024), North Dakota",12426,146,344,222,14,10602,658
"State Senate District 42 (2024), Oklahoma",61922,1537,1287,7527,26,43766,3521
"State Senate District 42 (2024), Pennsylvania",198284,161,3447,25698,28,159727,4603
"State Senate District 42 (2024), South Carolina",82679,122,1781,39615,18,34575,4472
"State Senate District 43 (2024), Georgia",137251,251,2010,88949,0,32895,8297
"State Senate District 43 (2024), Illinois",150921,32,5908,23333,28,84302,34518
"State Senate District 43 (2024), Indiana",104002,70,254,431,15,99932,1489
"State Senate District 43 (2024), Iowa",47221,64,2315,2653,19,38757,2097
"State Senate District 43 (2024), Maryland",98279,134,3576,47436,18,39706,4749
"State Senate District 43 (2024), Minnesota",61524,153,1900,7356,10,46954,3473
"State Senate District 43 (2024), Mississippi",42387,163,70,9512,1,31135,433
"State Senate District 43 (2024), Montana",18546,134,37,0,0,17626,387
"State Senate District 43 (2024), Nebraska",29822,771,246,137,2,27368,766
"State Senate District 43 (2024), New York",246016,117,7323,14198,105,208546,10449
"State Senate District 43 (2024), North Carolina",162196,280,2412,29410,35,116453,9496
"State Senate District 43 (2024), North Dakota",12418,180,254,440,0,10890,383
"State Senate District 43 (2024), Oklahoma",65299,2808,261,1504,20,52063,4184
"State Senate District 43 (2024), Pennsylvania",197450,113,7189,44575,69,132417,7187
"State Senate District 43 (2024), South Carolina",95761,56,1042,11178,18,78261,3723
"State Senate District 44 (2024), Georgia",136899,191,6244,69462,32,49255,7623
"State Senate District 44 (2024), Illinois",161179,100,2014,5340,68,147240,3424
"State Senate District 44 (2024), Indiana",100528,65,623,688,15,94859,2467
"State Senate District 44 (2024), Iowa",48194,48,388,774,4,44679,1410
"State Senate District 44 (2024), Maryland",96362,121,5915,42747,14,40209,4878
"State Senate District 44 (2024), Minnesota",60403,358,9437,4381,11,41888,2818
"State Senate District 44 (2024), Mississippi",41550,43,412,9236,0,30215,883
"State Senate District 44 (2024), Montana",19197,112,78,104,6,17563,935
"State Senate District 44 (2024), Nebraska",26792,62,191,914,25,20724,4371
"State Senate District 44 (2024), New York",256506,391,8710,13432,216,216353,12026
"State Senate District 44 (2024), North Carolina",160766,231,1032,18691,95,131781,5234
"State Senate District 44 (2024), North Dakota",15561,30,252,493,0,14042,432
"State Senate District 44 (2024), Oklahoma",43878,1409,1071,4171,111,18858,16536
"State Senate District 44 (2024), Pennsylvania",200239,74,9842,8424,69,169513,8574
"State Senate District 44 (2024), South Carolina",82490,139,2262,12118,89,62207,3821
"State Senate District 45 (2024), Georgia",132559,156,11149,28168,42,75791,14247
"State Senate District 45 (2024), Illinois",165923,210,1346,5241,23,147909,7646
"State Senate District 45 (2024), Indiana",105904,12,926,7377,37,90848,3674
"State Senate District 45 (2024), Iowa",52881,7,2187,3461,0,42046,3490
"State Senate District 45 (2024), Maryland",89538,245,590,66647,35,16797,2716
"State Senate District 45 (2024), Minnesota",63235,108,1461,863,3,58468,1351
"State Senate District 45 (2024), Mississippi",47366,11,545,12032,157,32315,1030
"State Senate District 45 (2024), Montana",17408,72,249,53,6,15878,489
"State Senate District 45 (2024), Nebraska",27110,85,827,1824,38,20447,2943
"State Senate District 45 (2024), New York",257371,2997,1690,6478,74,236458,6104
"State Senate District 45 (2024), North Carolina",167847,182,4727,11809,41,137620,9872
"State Senate District 45 (2024), North Dakota",13585,100,119,201,6,12377,479
"State Senate District 45 (2024), Oklahoma",60121,1655,3026,3757,134,39391,8216
"State Senate District 45 (2024), Pennsylvania",193954,75,3267,25921,3,156574,3473
"State Senate District 45 (2024), South Carolina",81514,70,340,35409,16,39683,3684
"State Senate District 46 (2024), Georgia",145913,286,4038,26845,25,101364,8908
"State Senate District 46 (2024), Illinois",165537,63,3115,27609,23,121465,8582
"State Senate District 46 (2024), Indiana",98956,149,1336,16825,21,68619,8491
"State Senate District 46 (2024), Iowa",48045,50,399,684,2,44644,1656
"State Senate District 46 (2024), Maryland",85611,108,3047,23876,0,49212,6750
"State Senate District 46 (2024), Minnesota",65736,67,1940,3684,1,55397,2504
"State Senate District 46 (2024), Mississippi",45417,96,206,3325,0,39283,1723
"State Senate District 46 (2024), Montana",17791,1957,132,72,1,13707,972
"State Senate District 46 (2024), Nebraska",29644,125,1665,1716,0,22460,2431
"State Senate District 46 (2024), New York",245958,109,7541,24050,44,191915,17545
"State Senate District 46 (2024), North Carolina",156280,256,2436,6867,23,137467,6347
"State Senate District 46 (2024), North Dakota",11995,51,348,598,4,10483,272
"State Senate District 46 (2024), Oklahoma",57561,2356,1795,9941,20,30361,9283
"State Senate District 46 (2024), Pennsylvania",199252,18,1590,5876,5,186073,2762
"State Senate District 46 (2024), South Carolina",93828,12,702,5867,1,79853,6186
"State Senate District 47 (2024), Georgia",146178,91,3417,25010,0,104993,9362
"State Senate District 47 (2024), Illinois",167655,198,969,3199,42,156933,4102
"State Senate District 47 (2024), Indiana",102133,27,469,2425,32,95100,2031
"State Senate District 47 (2024), Iowa",46325,22,1477,1064,10,41023,1879
"State Senate District 47 (2024), Maryland",64027,19,1974,39707,0,6319,14305
"State Senate District 47 (2024), Minnesota",61869,65,6510,4166,92,47530,2625
"State Senate District 47 (2024), Mississippi",45316,176,843,4219,1,37311,1366
"State Senate District 47 (2024), Montana",17427,186,91,0,46,15939,614
"State Senate District 47 (2024), Nebraska",29741,333,153,178,45,26279,2263
"State Senate District 47 (2024), New York",232819,164,22523,13478,112,157521,31299
"State Senate District 47 (2024), North Carolina",171114,278,929,3225,62,158168,5803
"State Senate District 47 (2024), North Dakota",11430,173,51,48,15,10621,265
"State Senate District 47 (2024), Oklahoma",62037,1015,3213,8055,2,42702,3452
"State Senate District 47 (2024), Pennsylvania",203051,56,1336,8298,8,186992,3507
"State Senate District 48 (2024), Georgia",117390,82,27383,10582,5,69539,7357
"State Senate District 48 (2024), Illinois",163696,110,2179,26486,94,125764,4126
"State Senate District 48 (2024), Indiana",105000,116,308,1217,23,99200,2491
"State Senate District 48 (2024), Iowa",46073,40,209,678,1,40126,4110
"State Senate District 48 (2024), Minnesota",63637,79,1566,991,46,57226,2311
"State Senate District 48 (2024), Mississippi",46399,150,684,13689,15,28703,1772
"State Senate District 48 (2024), Montana",17777,536,174,50,5,15925,489
"State Senate District 48 (2024), Nebraska",29477,277,158,205,5,23454,4924
"State Senate District 48 (2024), New York",245581,933,6298,28628,32,190808,12151
"State Senate District 48 (2024), North Carolina",158469,332,1258,7321,175,138272,7698
"State Senate District 48 (2024), Oklahoma",60052,1145,698,27825,6,21880,4477
"State Senate District 48 (2024), Pennsylvania",207938,74,2109,3642,18,181813,17837
"State Senate District 49 (2024), Georgia",132919,32,2789,10884,1,98252,18296
"State Senate District 49 (2024), Illinois",152346,79,11403,18381,3,92615,27041
"State Senate District 49 (2024), Indiana",104201,129,754,6191,14,91800,2062
"State Senate District 49 (2024), Iowa",49427,111,662,4495,46,38355,3802
"State Senate District 49 (2024), Minnesota",60346,39,4574,2876,0,49321,1822
"State Senate District 49 (2024), Mississippi",45944,49,877,12295,0,28773,2270
"State Senate District 49 (2024), Montana",18445,324,428,27,2,16676,571
"State Senate District 49 (2024), Nebraska",28780,22,763,520,32,25738,1324
"State Senate District 49 (2024), New York",244858,255,1890,6372,308,223085,8327
"State Senate District 49 (2024), North Carolina",164354,79,1807,10043,84,140780,7214
"State Senate District 49 (2024), Pennsylvania",201923,193,2194,12931,2,175753,7257
"State Senate District 5 (2024), Alabama",104412,106,228,6832,26,94031,1302
"State Senate District 5 (2024), Arizona",176597,4329,5307,11628,467,102354,46649
"State Senate District 5 (2024), Arkansas",64501,398,494,577,10,57812,3006
"State Senate District 5 (2024), California",650165,1864,128743,45045,3690,255933,190142
"State Senate District 5 (2024), Colorado",123485,452,889,711,89,100647,18262
"State Senate District 5 (2024), Connecticut",73222,11,4393,4300,1,56318,6707
"State Senate District 5 (2024), Delaware",34313,4,1803,5147,88,24977,1218
"State Senate District 5 (2024), Florida",402631,370,12417,160443,224,182321,34408
"State Senate District 5 (2024), Georgia",94258,141,12573,33188,103,22238,23530
"State Senate District 5 (2024), Hawaii",38120,25,17030,530,4218,6481,2610
"State Senate District 5 (2024), Idaho",42244,530,255,38,0,38118,2421
"State Senate District 5 (2024), Illinois",164363,67,10804,66121,68,66942,16356
"State Senate District 5 (2024), Indiana",102479,72,622,2204,1,92028,6069
"State Senate District 5 (2024), Iowa",49287,44,210,384,14,46678,1360
"State Senate District 5 (2024), Kansas",57268,266,1093,7492,134,41755,4261
"State Senate District 5 (2024), Kentucky",86767,54,106,1539,11,81697,1818
"State Senate District 5 (2024), Louisiana",93079,133,1485,47730,9,35591,5657
"State Senate District 5 (2024), Maine",33678,53,215,204,8,32172,465
"State Senate District 5 (2024), Maryland",102526,75,1874,4533,12,90339,3791
"State Senate District 5 (2024), Michigan",192227,407,13611,37716,15,127833,6432
"State Senate District 5 (2024), Minnesota",66642,340,138,421,49,62899,1503
"State Senate District 5 (2024), Mississippi",46800,96,253,2921,1,41525,666
"State Senate District 5 (2024), Missouri",133038,244,2857,75225,41,47127,3791
"State Senate District 5 (2024), Montana",18075,225,277,39,1,16585,448
"State Senate District 5 (2024), Nebraska",24398,27,273,1590,39,15042,6781
"State Senate District 5 (2024), Nevada",117896,558,10125,9481,518,74345,18366
"State Senate District 5 (2024), New Hampshire",49239,43,1608,661,14,44469,1338
"State Senate District 5 (2024), New Jersey",167117,45,5453,35783,66,85144,36410
"State Senate District 5 (2024), New Mexico",35730,2138,438,187,37,12237,20194
"State Senate District 5 (2024), New York",241435,64,27749,6253,93,177380,27622
"State Senate District 5 (2024), North Carolina",170570,233,1743,66959,74,91830,6189
"State Senate District 5 (2024), North Dakota",12652,192,233,434,1,10759,637
"State Senate District 5 (2024), Ohio",270325,74,2879,20299,18,235870,4613
"State Senate District 5 (2024), Oklahoma",60509,6987,401,2524,141,43598,2224
"State Senate District 5 (2024), Oregon",116576,1855,910,638,170,102632,5963
"State Senate District 5 (2024), Pennsylvania",177803,92,16636,23796,48,113801,20068
"State Senate District 5 (2024), Puerto Rico",339403,1,78,295,2,1661,337262
"State Senate District 5 (2024), Rhode Island",21707,0,550,2564,2,12468,5590
"State Senate District 5 (2024), South Carolina",88504,115,977,6467,8,74149,4501
"State Senate District 5 (2024), South Dakota",19684,431,118,139,1,18291,379
"State Senate District 5 (2024), Tennessee",158205,135,1448,6373,10,140817,5731
"State Senate District 5 (2024), Texas",717185,760,21588,72835,775,451552,151185
"State Senate District 5 (2024), Utah",80275,417,859,1908,224,63069,11876
"State Senate District 5 (2024), Virginia",176378,152,3128,7023,209,158762,3980
"State Senate District 5 (2024), West Virginia",84255,41,619,3245,14,77452,1060
"State Senate District 5 (2024), Wisconsin",134871,299,4421,4463,0,115117,7374
"State Senate District 5 (2024), Wyoming",13125,73,151,161,13,10582,1726
"State Senate District 50 (2024), Georgia",146139,102,1542,7555,5,125933,8144
"State Senate District 50 (2024), Illinois",167267,138,854,5615,99,154196,3711
"State Senate District 50 (2024), Indiana",102311,82,1128,5371,51,91148,1753
"State Senate District 50 (2024), Iowa",48692,107,219,1889,10,44110,1295
"State Senate District 50 (2024), Minnesota",62258,127,2842,2788,0,53212,1513
"State Senate District 50 (2024), Mississippi",43876,18,2003,8927,48,28688,2186
"State Senate District 50 (2024), Montana",18254,99,161,110,0,16079,1305
"State Senate District 50 (2024), New York",244768,428,4250,6934,40,220327,7932
"State Senate District 50 (2024), North Carolina",180419,6153,881,3510,69,161072,4852
"State Senate District 50 (2024), Pennsylvania",208425,103,697,7407,37,194178,2697
"State Senate District 51 (2024), Georgia",160732,174,903,1649,63,148907,5930
"State Senate District 51 (2024), Illinois",165569,147,938,3444,13,153197,4483
"State Senate District 51 (2024), Minnesota",61326,327,3051,6874,0,42976,6095
"State Senate District 51 (2024), Mississippi",44825,166,952,9908,15,30140,1804
"State Senate District 51 (2024), New York",257396,266,2678,9943,121,222280,17592
"State Senate District 52 (2024), Georgia",145467,134,1161,16856,273,114074,9785
"State Senate District 52 (2024), Illinois",160559,138,9920,25450,0,111631,9733
"State Senate District 52 (2024), Minnesota",62695,92,4210,5440,7,48251,2737
"State Senate District 52 (2024), Mississippi",44666,299,588,9279,1,28978,3901
"State Senate District 52 (2024), New York",248324,191,11360,10838,47,208338,12143
"State Senate District 53 (2024), Georgia",148554,163,1277,5582,32,132845,4330
"State Senate District 53 (2024), Illinois",162164,83,1031,2732,12,148990,7499
"State Senate District 53 (2024), Minnesota",64398,133,2021,2761,24,51745,6296
"State Senate District 53 (2024), New York",244697,474,4939,9774,37,214793,10805
"State Senate District 54 (2024), Georgia",132674,22,1215,4767,172,102397,21802
"State Senate District 54 (2024), Illinois",166796,115,783,2536,17,158806,2414
"State Senate District 54 (2024), Minnesota",61831,603,4485,2764,10,49434,2937
"State Senate District 54 (2024), New York",249864,117,2125,6496,58,227905,9206
"State Senate District 55 (2024), Georgia",142668,153,6854,90793,85,34280,7777
"State Senate District 55 (2024), Illinois",166734,343,806,4278,37,154847,2964
"State Senate District 55 (2024), Minnesota",61851,123,3181,6284,10,47010,3239
"State Senate District 55 (2024), New York",248350,158,5224,24064,33,192267,21002
"State Senate District 56 (2024), Georgia",136169,52,6627,9283,86,109168,8130
"State Senate District 56 (2024), Illinois",167412,230,1501,17530,34,135481,6850
"State Senate District 56 (2024), Minnesota",60899,35,3284,4047,45,49532,1987
"State Senate District 56 (2024), New York",241415,272,9037,45731,18,157234,22226
"State Senate District 57 (2024), Illinois",161836,354,1645,48925,23,99777,5067
"State Senate District 57 (2024), Minnesota",62681,161,2471,2977,0,53442,2585
"State Senate District 57 (2024), New York",252272,1570,1492,5436,28,229032,10619
"State Senate District 58 (2024), Illinois",167206,122,757,6612,33,153517,3105
"State Senate District 58 (2024), Minnesota",62699,61,1353,941,26,56776,2404
"State Senate District 58 (2024), New York",251854,269,2147,7124,14,233180,5491
"State Senate District 59 (2024), Illinois",167912,208,1429,12443,18,146273,3842
"State Senate District 59 (2024), Minnesota",60575,503,4504,17272,0,31572,3694
"State Senate District 59 (2024), New York",212803,432,28553,12876,105,129182,33436
"State Senate District 6 (2024), Alabama",111730,1176,436,14789,34,87125,4519
"State Senate District 6 (2024), Arizona",161056,92996,585,1356,155,46117,13425
"State Senate District 6 (2024), Arkansas",70515,243,293,5318,43,60352,2694
"State Senate District 6 (2024), California",705677,2008,60359,35005,2049,467347,107767
"State Senate District 6 (2024), Colorado",129345,4112,893,564,44,96539,23247
"State Senate District 6 (2024), Connecticut",70831,61,1651,6008,10,41010,20314
"State Senate District 6 (2024), Delaware",45935,35,901,2036,1,40980,1255
"State Senate District 6 (2024), Florida",423393,302,10247,56422,274,306422,37526
"State Senate District 6 (2024), Georgia",147999,52,1885,24235,4,110474,7415
"State Senate District 6 (2024), Hawaii",39762,21,8448,377,1320,19589,3902
"State Senate District 6 (2024), Idaho",43447,1194,422,387,27,38170,1850
"State Senate District 6 (2024), Illinois",177374,70,9606,6605,29,142284,14314
"State Senate District 6 (2024), Indiana",103660,66,1057,3187,2,90585,7030
"State Senate District 6 (2024), Iowa",46320,15,312,268,14,42090,2678
"State Senate District 6 (2024), Kansas",43583,236,844,4589,17,24652,11528
"State Senate District 6 (2024), Kentucky",86312,58,1864,4915,1,74238,2692
"State Senate District 6 (2024), Louisiana",85230,125,1398,20487,20,58794,2719
"State Senate District 6 (2024), Maine",33973,1003,116,186,20,31343,541
"State Senate District 6 (2024), Maryland",94665,277,1584,16748,7,67309,6001
"State Senate District 6 (2024), Michigan",191883,459,5405,78171,152,98133,4809
"State Senate District 6 (2024), Minnesota",68842,543,277,343,27,65643,857
"State Senate District 6 (2024), Mississippi",45146,17,270,8674,233,34430,715
"State Senate District 6 (2024), Missouri",141798,226,751,6085,18,127742,3360
"State Senate District 6 (2024), Montana",18279,562,75,61,30,16523,595
"State Senate District 6 (2024), Nebraska",30792,11,606,2267,1,25613,1680
"State Senate District 6 (2024), Nevada",111616,288,9160,10469,874,63090,23093
"State Senate District 6 (2024), New Hampshire",46839,4,601,384,6,44281,772
"State Senate District 6 (2024), New Jersey",174104,38,11773,21453,44,123919,13717
"State Senate District 6 (2024), New Mexico",39267,2608,292,113,10,16499,18986
"State Senate District 6 (2024), New York",220151,141,9703,69560,161,85345,50984
"State Senate District 6 (2024), North Carolina",153540,794,2804,18212,250,104867,18277
"State Senate District 6 (2024), North Dakota",13331,232,48,53,6,12654,146
"State Senate District 6 (2024), Ohio",278620,96,4363,61655,43,195238,8583
"State Senate District 6 (2024), Oklahoma",65132,7543,271,2389,15,46792,2485
"State Senate District 6 (2024), Oregon",112531,570,1136,290,286,100603,5507
"State Senate District 6 (2024), Pennsylvania",206452,156,10736,7464,12,175247,9487
"State Senate District 6 (2024), Puerto Rico",334370,0,45,335,0,852,332986
"State Senate District 6 (2024), Rhode Island",18400,78,935,3148,0,6128,7358
"State Senate District 6 (2024), South Carolina",83974,118,1957,7797,32,66198,5230
"State Senate District 6 (2024), South Dakota",18933,25,155,217,0,17534,501
"State Senate District 6 (2024), Tennessee",163562,152,2758,14836,14,137867,4711
"State Senate District 6 (2024), Texas",493496,778,14513,89228,297,83174,298539
"State Senate District 6 (2024), Utah",76126,238,1384,1009,623,63786,7331
"State Senate District 6 (2024), Virginia",171991,210,573,5493,91,161797,2032
"State Senate District 6 (2024), West Virginia",84008,178,73,3873,0,77320,814
"State Senate District 6 (2024), Wisconsin",124162,421,4809,65503,4,42023,7423
"State Senate District 6 (2024), Wyoming",13908,42,18,30,35,12661,892
"State Senate District 60 (2024), Minnesota",66752,443,3511,8252,28,47690,3386
"State Senate District 60 (2024), New York",260405,1172,1407,3552,136,246190,5527
"State Senate District 61 (2024), Minnesota",70126,254,2413,5725,16,55261,4374
"State Senate District 61 (2024), New York",244152,609,8954,18774,16,197491,13614
"State Senate District 62 (2024), Minnesota",56857,1190,1514,12497,9,34011,5235
"State Senate District 62 (2024), New York",247381,1158,2179,12743,13,218175,7958
"State Senate District 63 (2024), Minnesota",65822,226,1743,5498,24,52770,3005
"State Senate District 63 (2024), New York",229136,461,10259,62433,46,131363,19084
"State Senate District 64 (2024), Minnesota",66323,58,2350,3832,2,54775,2666
"State Senate District 65 (2024), Minnesota",60598,345,5937,11209,17,35040,5545
"State Senate District 66 (2024), Minnesota",59533,237,8663,6685,34,38177,3076
"State Senate District 67 (2024), Minnesota",52106,277,14764,8126,12,23332,3713
"State Senate District 7 (2024), Alabama",117048,315,1484,28510,35,78552,4528
"State Senate District 7 (2024), Arizona",204105,5729,2364,3737,195,154303,31654
"State Senate District 7 (2024), Arkansas",66429,116,362,4776,16,57354,2047
"State Senate District 7 (2024), California",651234,1448,128904,112891,2779,249686,123525
"State Senate District 7 (2024), Colorado",127004,505,835,757,24,107646,14705
"State Senate District 7 (2024), Connecticut",78613,75,1875,4371,58,65374,5395
"State Senate District 7 (2024), Delaware",33849,38,844,3203,0,24597,4545
"State Senate District 7 (2024), Florida",458317,311,9830,32941,98,370268,35924
"State Senate District 7 (2024), Georgia",123535,122,22687,28004,0,54697,14693
"State Senate District 7 (2024), Hawaii",40991,132,6366,75,5545,15972,3676
"State Senate District 7 (2024), Idaho",43134,566,338,59,23,39377,1423
"State Senate District 7 (2024), Illinois",167227,226,12880,24740,191,100775,22772
"State Senate District 7 (2024), Indiana",100417,20,870,1812,15,91862,4283
"State Senate District 7 (2024), Iowa",46338,322,501,1133,0,41886,1656
"State Senate District 7 (2024), Kansas",58174,60,1163,1093,5,51604,3093
"State Senate District 7 (2024), Kentucky",85655,95,619,4602,11,74745,2697
"State Senate District 7 (2024), Louisiana",83210,166,3472,52522,0,19110,6299
"State Senate District 7 (2024), Maine",31813,153,223,247,0,30096,584
"State Senate District 7 (2024), Maryland",96982,84,4610,10264,1,76574,3321
"State Senate District 7 (2024), Michigan",196831,204,6559,88997,10,84024,9543
"State Senate District 7 (2024), Minnesota",68728,753,182,444,4,65426,583
"State Senate District 7 (2024), Mississippi",39238,11,56,15682,1,22372,400
"State Senate District 7 (2024), Missouri",134200,197,3597,20856,215,93310,11295
"State Senate District 7 (2024), Montana",18189,985,94,51,9,15640,618
"State Senate District 7 (2024), Nebraska",23431,182,333,1555,14,14518,6207
"State Senate District 7 (2024), Nevada",93439,388,7968,11799,434,39289,29317
"State Senate District 7 (2024), New Hampshire",46906,33,377,248,0,44139,1031
"State Senate District 7 (2024), New Jersey",174849,60,8334,39627,1,107125,13909
"State Senate District 7 (2024), New Mexico",35646,269,321,1711,47,18591,13556
"State Senate District 7 (2024), New York",229831,240,43610,4960,64,158889,18903
"State Senate District 7 (2024), North Carolina",162293,226,1647,12736,23,137293,6244
"State Senate District 7 (2024), North Dakota",12971,42,40,180,0,12317,130
"State Senate District 7 (2024), Ohio",268727,220,10492,22720,244,221678,7457
"State Senate District 7 (2024), Oklahoma",63355,7505,377,1257,25,44476,2243
"State Senate District 7 (2024), Oregon",108266,693,2659,1553,343,89090,8867
"State Senate District 7 (2024), Pennsylvania",205189,334,6231,106689,61,76749,8609
"State Senate District 7 (2024), Puerto Rico",335512,3,85,615,26,2559,332161
"State Senate District 7 (2024), Rhode Island",18242,0,766,2550,1,5449,8980
"State Senate District 7 (2024), South Carolina",80244,129,807,28728,26,41775,6379
"State Senate District 7 (2024), South Dakota",20997,227,242,92,0,19515,595
"State Senate District 7 (2024), Tennessee",159579,96,2743,10198,259,137466,4500
"State Senate District 7 (2024), Texas",627372,725,54173,86311,320,316649,155253
"State Senate District 7 (2024), Utah",80118,256,1396,796,296,68825,6836
"State Senate District 7 (2024), Virginia",172845,167,807,19047,23,145627,4565
"State Senate District 7 (2024), West Virginia",76599,44,161,878,1,73699,418
"State Senate District 7 (2024), Wisconsin",140360,633,3300,7222,24,113030,11911
"State Senate District 7 (2024), Wyoming",14778,45,134,517,22,12038,1757
"State Senate District 8 (2024), Alabama",114984,707,621,8444,4,97365,3809
"State Senate District 8 (2024), Arizona",191796,5694,6461,11570,534,117324,41376
"State Senate District 8 (2024), Arkansas",63995,78,282,35047,156,26403,983
"State Senate District 8 (2024), California",648675,1568,140666,82240,10192,237088,143672
"State Senate District 8 (2024), Colorado",123322,559,1133,844,181,104817,13758
"State Senate District 8 (2024), Connecticut",74229,20,2532,1783,0,64676,3795
"State Senate District 8 (2024), Delaware",37147,24,1771,2846,1,28835,2545
"State Senate District 8 (2024), Florida",448217,811,6665,45494,198,326025,61384
"State Senate District 8 (2024), Georgia",141738,225,1330,42579,49,88293,6666
"State Senate District 8 (2024), Hawaii",53754,48,16071,492,4823,18346,4556
"State Senate District 8 (2024), Idaho",41506,174,650,605,97,35466,3288
"State Senate District 8 (2024), Illinois",142604,93,30997,7529,41,82834,17756
"State Senate District 8 (2024), Indiana",100491,61,240,1535,14,92465,4491
"State Senate District 8 (2024), Iowa",48424,35,132,134,16,46142,1048
"State Senate District 8 (2024), Kansas",59169,21,2185,3461,13,48668,3453
"State Senate District 8 (2024), Kentucky",89963,140,879,2881,17,82425,1412
"State Senate District 8 (2024), Louisiana",84224,359,3874,22753,24,47969,7000
"State Senate District 8 (2024), Maine",32828,569,384,207,2,30135,771
"State Senate District 8 (2024), Maryland",91305,166,5571,29598,95,50006,3746
"State Senate District 8 (2024), Michigan",202456,160,3795,82283,49,106233,4780
"State Senate District 8 (2024), Minnesota",69480,922,996,1417,12,62707,1276
"State Senate District 8 (2024), Mississippi",44734,64,61,13701,4,29260,839
"State Senate District 8 (2024), Missouri",132973,164,1944,10692,187,110706,6128
"State Senate District 8 (2024), Montana",15138,8124,58,46,16,6003,314
"State Senate District 8 (2024), Nebraska",30660,47,524,3156,1,24559,1339
"State Senate District 8 (2024), Nevada",110308,338,15996,10790,756,60810,16490
"State Senate District 8 (2024), New Hampshire",45724,28,195,348,7,43312,860
"State Senate District 8 (2024), New Jersey",179478,58,6763,18017,63,135142,14325
"State Senate District 8 (2024), New Mexico",39924,570,136,442,2,13919,24328
"State Senate District 8 (2024), New York",248075,80,5932,7103,0,206022,25678
"State Senate District 8 (2024), North Carolina",191000,1573,1126,29560,52,147993,6450
"State Senate District 8 (2024), North Dakota",12746,134,18,12,0,11944,336
"State Senate District 8 (2024), Ohio",263431,525,3639,40169,70,206394,4157
"State Senate District 8 (2024), Oklahoma",63230,9100,405,3622,21,42392,1877
"State Senate District 8 (2024), Oregon",107590,376,4036,1011,140,89858,8571
"State Senate District 8 (2024), Pennsylvania",183279,226,9641,102854,3,57931,6856
"State Senate District 8 (2024), Puerto Rico",329444,0,327,489,0,2355,326129
"State Senate District 8 (2024), Rhode Island",19873,3,56,3224,3,12145,3677
"State Senate District 8 (2024), South Carolina",90500,255,2028,11877,28,68208,5473
"State Senate District 8 (2024), South Dakota",19643,234,115,107,17,18603,353
"State Senate District 8 (2024), Tennessee",168662,173,774,1858,103,158543,4235
"State Senate District 8 (2024), Texas",699462,1553,72629,75161,522,440221,92909
"State Senate District 8 (2024), Utah",76474,61,1733,811,917,64630,6511
"State Senate District 8 (2024), Virginia",169765,176,1699,26304,42,133537,4380
"State Senate District 8 (2024), West Virginia",78386,18,364,4279,47,70110,903
"State Senate District 8 (2024), Wisconsin",136080,175,4368,6138,13,118889,4269
"State Senate District 8 (2024), Wyoming",14309,95,222,308,0,10572,2628
"State Senate District 9 (2024), Alabama",108130,350,1163,4292,117,92246,7487
"State Senate District 9 (2024), Arizona",160575,3411,3515,8068,264,96728,42925
"State Senate District 9 (2024), Arkansas",61323,78,212,33570,0,24223,1013
