geoname,Total,American Indian or Alaska Native Alone,Asian Alone,Black or African American Alone,Native Hawaiian or Other Pacific Islander Alone,White Alone,Hispanic or Latino
"State Senate District 14 (2024), Alabama",105173,141,1281,16057,48,81114,4948
"State Senate District 14 (2024), Arizona",171878,1128,9428,5843,102,123138,26398
"State Senate District 14 (2024), Arkansas",66231,145,1523,12699,79,48838,1708
"State Senate District 14 (2024), California",578539,2319,52730,31611,1092,147528,330904
"State Senate District 14 (2024), Colorado",130474,383,2300,1525,197,109363,13254
"State Senate District 14 (2024), Connecticut",73889,16,2168,3633,85,59949,7038
"State Senate District 14 (2024), Delaware",37342,9,883,10656,52,21685,2472
"State Senate District 14 (2024), Florida",393810,382,16229,29021,236,223932,114598
"State Senate District 14 (2024), Georgia",135524,105,8524,28054,11,83323,11009
"State Senate District 14 (2024), Hawaii",36911,2,22432,518,2892,3831,1936
"State Senate District 14 (2024), Idaho",43223,163,488,112,67,38967,2422
"State Senate District 14 (2024), Illinois",153356,82,2984,76640,31,56716,14477
"State Senate District 14 (2024), Indiana",91638,25,2623,14860,28,66634,5523
"State Senate District 14 (2024), Iowa",49614,21,1491,1223,25,43784,2044
"State Senate District 14 (2024), Kansas",57776,211,125,1306,4,52402,2153
"State Senate District 14 (2024), Kentucky",86996,64,177,3836,0,80096,1123
"State Senate District 14 (2024), Louisiana",89029,124,2315,48584,17,31951,3146
"State Senate District 14 (2024), Maine",31783,54,126,195,0,30231,635
"State Senate District 14 (2024), Maryland",89309,74,10943,24270,52,41107,10014
"State Senate District 14 (2024), Michigan",204661,455,5397,12724,49,173817,6455
"State Senate District 14 (2024), Minnesota",62480,186,1574,7332,69,49184,2409
"State Senate District 14 (2024), Mississippi",40845,6,111,15701,4,23970,299
"State Senate District 14 (2024), Missouri",137453,94,2727,62964,12,62080,4911
"State Senate District 14 (2024), Montana",16150,950,44,51,15,14079,286
"State Senate District 14 (2024), Nebraska",30107,29,616,1159,1,25346,2331
"State Senate District 14 (2024), Nevada",109640,2251,3717,1593,514,79708,19263
"State Senate District 14 (2024), New Hampshire",46540,24,669,520,1,43177,1383
"State Senate District 14 (2024), New Jersey",157347,54,21153,12920,37,103226,17771
"State Senate District 14 (2024), New Mexico",31742,722,260,562,48,6084,23412
"State Senate District 14 (2024), New York",218544,1010,30344,108044,59,39408,34367
"State Senate District 14 (2024), North Carolina",144530,272,5486,64188,6,55728,14056
"State Senate District 14 (2024), North Dakota",12399,190,15,25,0,11822,183
"State Senate District 14 (2024), Ohio",273556,177,2002,4319,26,258135,3949
"State Senate District 14 (2024), Oklahoma",61530,4536,322,2633,27,44828,3852
"State Senate District 14 (2024), Oregon",107511,256,6128,2827,223,83297,9823
